Município;Cargo;Nome;Partido;Genero
ESCADA;VEREADOR;DEDA MOVEIS;PMB;MASCULINO
GOIANA;VEREADOR;CARLOS VIEGAS JR;PP;MASCULINO
GOIANA;VEREADOR;ANA DIAMANTE;PP;FEMININO
MIRANDIBA;VEREADOR;MAICON QUIXABEIRA;PT;MASCULINO
MIRANDIBA;VEREADOR;DAMI√ÉO DE ALONSO;UNI√ÉO;MASCULINO
SERT√ÇNIA;VEREADOR;ALEXANDRE LAET;PT;MASCULINO
VERTENTES;VEREADOR;MARCONE;PSB;MASCULINO
VERTENTES;VEREADOR;NEN CAVALCANTI;PSB;FEMININO
VERTENTES;VEREADOR;Z√â IVANILDO;PSDB;MASCULINO
BARREIROS;VEREADOR;WADJA LE√ÉO;PP;FEMININO
IGARASSU;VEREADOR;SON ALBUQUERQUE;UNI√ÉO;MASCULINO
IGARASSU;VEREADOR;MARIA ARRUDA DA EDUCA√á√ÉO;PP;FEMININO
IGARASSU;VEREADOR;CARLINHOS;PSDB;MASCULINO
BU√çQUE;VEREADOR;TARCIZIO DA RIBEIRA;PSDB;MASCULINO
MACHADOS;VEREADOR;JO√ÉO MORAIS;PSB;MASCULINO
BU√çQUE;VEREADOR;DOD√ì;MDB;MASCULINO
MARAIAL;VEREADOR;EVERALDO DO QUEIJO;MDB;MASCULINO
CORT√äS;VEREADOR;PREFESSOR IVO;REPUBLICANOS;MASCULINO
FLORESTA;VEREADOR;TIAGO MANI√áOBA PEBINHA;PP;MASCULINO
FLORESTA;VEREADOR;ANA ALICE NUMERIANO;PP;FEMININO
JO√ÉO ALFREDO;VEREADOR;VALTINHO DE Z√â LOURO;PSB;MASCULINO
S√ÉO JOAQUIM DO MONTE;VEREADOR;ANDRECIO SILVA;PSB;MASCULINO
S√ÉO JOS√â DO BELMONTE;VEREADOR;KAYSON;PSB;MASCULINO
JO√ÉO ALFREDO;VEREADOR;J√öNIOR DE DEZIM;AVANTE;MASCULINO
RECIFE;VEREADOR;GILBERTO ALVES;PRD;MASCULINO
RECIFE;VEREADOR;FELIPE FRANCISMAR;PSB;MASCULINO
RECIFE;VEREADOR;EDUARDO MOTA;PSB;MASCULINO
VERDEJANTE;VEREADOR;DORINHO;PT;MASCULINO
VERDEJANTE;VEREADOR;DERLEY DA MALHADAREIA;PSDB;MASCULINO
VERDEJANTE;VEREADOR;ADELAIDE DA SA√öDE;PSD;FEMININO
DORMENTES;PREFEITO;CORRINHA DE GEOMARCO;PSB;FEMININO
CAMOCIM DE S√ÉO F√âLIX;VEREADOR;C√âSAR LUCENA;PT;MASCULINO
CONDADO;VEREADOR;IRM√É EVA;PODE;FEMININO
CONDADO;VEREADOR;VAV√Å;PL;MASCULINO
CUMARU;VEREADOR;GUSTAVO PEREIRA;PP;MASCULINO
CUMARU;VEREADOR;HUMBERTO DE AMEIXAS;PSB;MASCULINO
CUMARU;VEREADOR;CANIZIO GON√áALVES;PSB;MASCULINO
FLORES;VEREADOR;DEMA DE FATIMA;PSB;MASCULINO
PEDRA;VEREADOR;OS√ìRIO FILHO;PSB;MASCULINO
PEDRA;VEREADOR;LEANDRO OLIVEIRA;PSB;MASCULINO
PEDRA;VEREADOR;MECINHO;PSD;MASCULINO
PEDRA;VEREADOR;REGINALDO DE S√ÉO PEDRO;PV;MASCULINO
SAIR√â;VEREADOR;CLA√öDIO DA M√ÅQUINA;PT;MASCULINO
SAIR√â;VEREADOR;JOSELITO;PT;MASCULINO
SAIR√â;VEREADOR;EDNALDO DA INTERNET;MDB;MASCULINO
SAIR√â;VEREADOR;TIRIRICA;MDB;MASCULINO
SAIR√â;VEREADOR;SANDRA DE Z√â ALBINO;REPUBLICANOS;FEMININO
√ÅGUAS BELAS;VEREADOR;DR. ROLANDO;PODE;MASCULINO
√ÅGUAS BELAS;VEREADOR;TAIRONE DO BOLSA;PT;MASCULINO
BELO JARDIM;VEREADOR;IRM√ÉO ADRIANO;PODE;MASCULINO
SERRITA;VEREADOR;CHICO DE NIL;PSD;MASCULINO
BOM JARDIM;VEREADOR;LANNY DO HOSPITAL;PV;FEMININO
BREJO DA MADRE DE DEUS;VEREADOR;XANDE DA FONTE;PP;MASCULINO
BREJO DA MADRE DE DEUS;VEREADOR;HANNAELTON PETELECO;PSDB;MASCULINO
CACHOEIRINHA;VEREADOR;GENILSON DE GENILDO DENTISTA;PSDB;MASCULINO
CACHOEIRINHA;VEREADOR;CICERO DE CABANAS;REPUBLICANOS;MASCULINO
CARNAUBEIRA DA PENHA;VEREADOR;JOTA;PP;MASCULINO
CARNAUBEIRA DA PENHA;VEREADOR;SEVI DE NENEM COTA;PP;MASCULINO
CATENDE;VEREADOR;JAILTON MOTO T√ÅXI;PODE;MASCULINO
CATENDE;VEREADOR;ADRIANO DO CANA√É;PODE;MASCULINO
CATENDE;VEREADOR;DIDA DE Z√â JOAQUIM;PSDB;MASCULINO
CATENDE;VEREADOR;DJALMA DA SA√öDE;PSDB;MASCULINO
PRIMAVERA;VEREADOR;DANNY DE NENEL;PSB;FEMININO
SALGADINHO;VEREADOR;SAMI IRM√ÉO DE ANADEJE;PSDB;MASCULINO
SALGADINHO;VEREADOR;JOELMA DE OLEG√ÅRIO;PSDB;FEMININO
S√ÉO JO√ÉO;VEREADOR;ROSINEIDE DE Z√â M√îCO;PP;FEMININO
BEL√âM DE MARIA;VEREADOR;AILTON DA BATATINHA;PSDB;MASCULINO
S√ÉO JO√ÉO;VEREADOR;OTONIEL BIGOD√ÉO;PP;MASCULINO
S√ÉO JO√ÉO;VEREADOR;RENATO VIRGULINO;REPUBLICANOS;MASCULINO
BEL√âM DE MARIA;VEREADOR;FRANK FISCAL DO POVO;PP;MASCULINO
BEL√âM DE MARIA;VEREADOR;DANDA DE VAL;PP;FEMININO
TUPANATINGA;VEREADOR;DAD√Å DE AUREO;PP;MASCULINO
OURICURI;VEREADOR;NALDO DO VIDE√ö;REPUBLICANOS;MASCULINO
SANTA FILOMENA;VEREADOR;WALLACE MOROR√ì;PP;MASCULINO
SANTA FILOMENA;VEREADOR;ADELVAN DO CAMPO SANTO;PSD;MASCULINO
SANTA FILOMENA;VEREADOR;DERVAL DO IPA;PSDB;MASCULINO
S√ÉO BENTO DO UNA;VEREADOR;PADRE FERA;PSB;MASCULINO
S√ÉO BENTO DO UNA;VEREADOR;ANDR√â VALEN√áA;MDB;MASCULINO
IPOJUCA;PREFEITO;CARLOS SANTANA;REPUBLICANOS;MASCULINO
INGAZEIRA;PREFEITO;LUCIANO TORRES;PSB;MASCULINO
AMARAJI;VEREADOR;DEDA DO SINDICATO;REPUBLICANOS;MASCULINO
ILHA DE ITAMARAC√Å;VEREADOR;AMIGO ZERO;REPUBLICANOS;MASCULINO
ILHA DE ITAMARAC√Å;VEREADOR;KITA PESCADOR;PODE;MASCULINO
RIBEIR√ÉO;VEREADOR;ANA PAULA;PODE;FEMININO
ALTINHO;VEREADOR;ALINE DE ARMANDO;PP;FEMININO
ALTINHO;VEREADOR;NOVINHO DA AUTOESCOLA;PSDB;MASCULINO
CAMARAGIBE;VEREADOR;JUNIOR DO BORRALHO;AVANTE;MASCULINO
CAMARAGIBE;VEREADOR;PAULO ANDRE;PSB;MASCULINO
CAMARAGIBE;VEREADOR;DOUTORA DAIANA;MDB;FEMININO
CAMUTANGA;VEREADOR;IRM√É L√öCIA;PV;FEMININO
CAMUTANGA;VEREADOR;JESS√â DE ROMILDO;PV;MASCULINO
CAMUTANGA;VEREADOR;RICARDO ALMEIDA;PSDB;MASCULINO
CAMUTANGA;VEREADOR;MAZINHO;PSDB;MASCULINO
FREI MIGUELINHO;VEREADOR;NATALIA DE ZONZOME;PSB;FEMININO
FREI MIGUELINHO;VEREADOR;DR NETO;PSB;MASCULINO
LAGOA DO CARRO;VEREADOR;CARLINHOS DA CEASA;PSD;MASCULINO
MOREIL√ÇNDIA;VEREADOR;YANNE ANGELIM;SOLIDARIEDADE;FEMININO
S√ÉO CAITANO;VEREADOR;MAURICIO DE MANI√áOBA;PL;MASCULINO
S√ÉO VICENTE F√âRRER;VEREADOR;MORGANA ENFERMEIRA;PSB;FEMININO
S√ÉO VICENTE F√âRRER;VEREADOR;NALVINHA;PSB;FEMININO
IBIRAJUBA;VEREADOR;PALOMA DUARTE;PSDB;FEMININO
ITAQUITINGA;VEREADOR;LELI DE TEACHER BLACK;AVANTE;FEMININO
ITAQUITINGA;VEREADOR;SILVIO DA LOTERICA;AVANTE;MASCULINO
ARARIPINA;PREFEITO;EVIL√ÅSIO MATEUS;PDT;MASCULINO
AFR√ÇNIO;VEREADOR;FLAVIANO;MDB;MASCULINO
CARNA√çBA;VEREADOR;TIAGO ARRUDA BARE;PSB;MASCULINO
CUPIRA;VEREADOR;RIC√ÅCIO ENFERMEIRO;UNI√ÉO;MASCULINO
CUPIRA;VEREADOR;MELSON DE TICA;UNI√ÉO;MASCULINO
CUPIRA;VEREADOR;EVINHO PROFESSOR;PSDB;MASCULINO
GAMELEIRA;VEREADOR;MERCIA ENFERMEIRA;PSD;FEMININO
GAMELEIRA;VEREADOR;NINHO DA VILA;PSDB;MASCULINO
GAMELEIRA;VEREADOR;IRM√ÉO J√öNIOR;SOLIDARIEDADE;MASCULINO
